# 請將你的表格資料（Time, Subtitle, Machine Translation）直接貼在下一行開始：


Time	Subtitle	Machine Translation
0s	***	***
9s	Dit is het antwoordapparaat van Broodjeszaak Berenlekker	這是貝倫萊克三明治店的答錄機留言。
13s	Op dit moment is niemand aanwezig	目前在場無人。
15s	Op maandag tot en met donderdag zijn wij open van 9 uur tot 5	我們週一至週四上午9點至下午5點營業。
20s	Vrijdag zijn we van half 9 tot half 1 open	週五我們的營業時間為8:30至12:30。
24s	Spreek uw naam en telefoonnummer in	請提供您的姓名和電話號碼
27s	dan bellen wij u zo snel mogelijk terug	我們會盡快回電給您。
30s	U kunt uw vraag ook per e-mail opsturen naar info.berenlekker.nl	您也可以透過電子郵件將問題發送至 info.berenlekker.nl
34s	Wij mailen u dan zo snel mogelijk terug.	我們會盡快回覆您的郵件。
37s	Heeft u vragen over onze prijzen?	您對我們的價格有任何疑問嗎？
40s	Kijk dan op www.berenlekker.nl	然後造訪 www.berenlekker.nl
42s	Ook vindt u daar informatie over bestellingen.	您還可以在那裡找到有關訂單的資訊。
49s	Goedemorgen.	早安.
50s	Dag. Ik zoek keelsnoepjes.	天。我在找潤喉糖。
53s	Ik moet veel hoesten. Mijn keel kriebelt en doet pijn.	我咳嗽得很厲害。我喉嚨癢癢的，而且有點痛。
56s	Dan kunt u beter een hoestdrankje of tabletjes nemen.	那你最好服用止咳糖漿或止咳藥片。
1:00	En veel thee met honing drinken.	多喝加蜂蜜的茶。
1:03	Oké. Dan doe maar tabletjes.	好的。那就吃藥片吧。
1:06	Hoestdrank vind ik vies.	我覺得止咳糖漿很噁心。
1:07	Dat is goed.	美好的。
1:09	Dat kost 8,25 euro.	那要8.25歐元。
1:12	Ik heb alleen 50 euro. Is dat erg?	我只有50歐元。那很糟糕嗎？
1:15	Nee hoor. Ik heb wel wisselgeld.	不，我有零錢。
1:18	Dan krijgt u nog terug.	然後你會拿回來的。
1:20	40 en 1,75 euro.	40 和 1.75 歐元。
1:26	Alsjeblieft.	請。
1:26	Dank u wel.	謝謝。
1:27	Oké Nabil.	好的，納比爾。
1:30	Wat handige informatie voor als je materiaal wilt bestellen.	訂購材料時的一些實用資訊。
1:34	Zoals pennen.	就像鋼筆一樣。
1:35	De afdeling inkoop doet de bestelling.	採購部門下訂單。
1:37	Inkoop zit op de tweede verdieping.	採購處在二樓。
1:41	Kamer 2.3.	2.3 室
1:43	Naast verkoop in 2.2.	除了 2.2 版的銷售額之外。
1:45	Je kijkt zo naar binnen vanuit de kantine.	從食堂可以直接看到裡面。
1:48	Als je iets wil bestellen.	如果你想訂購什麼東西。
1:49	Vul je dit formulier in.	請填寫此表格。
1:51	Dat lever je dan in bij inkoop.	然後將其提交給採購部門。
1:54	Als de bestelling binnen is.	訂單到達時。
1:56	Hoor je dat van inkoop.	你是從購買管道聽說的嗎？
1:58	Meestal bellen ze even.	他們通常會打個簡短的電話。
2:00	Of ze sturen een mailtje.	或者他們會發送電子郵件。
2:01	En als het een klein pakket is.	如果包裹很小的話。
2:04	Leggen ze dat meteen in je postvak.	他們會立刻把郵件投遞到你的信箱裡。
2:12	Goedemiddag.	午安.
2:13	Dit is het journaal van 1 uur.	這是下午一點的新聞。
2:16	De basiszorgverzekering wordt duurder in Nederland.	在荷蘭，基本醫療保險的費用越來越高。
2:19	Inwoners gaan ongeveer 150 euro per persoon meer betalen per jaar.	居民每年每人將多支付約 150 歐元。
2:25	Dat is berekend met gegevens van de vier grootste zorgverzekeraars.	這是根據四家最大健康保險公司的數據計算出來的。
